,Sentences
13,isoshanguve ilokishi elisenyakatho nedolobha leipitolipitoli igama elithi soshanguve lisuselwe kwisotho shangane nguni venda uma ungumuntu ongazi lendawo uzoyithola eningizimu afrikaisifundazwe ongathola lelokishi igauteng
14,pagename izinxoxo ezixoxelwa izingane zixoxwa umama wezingane noma ugogo  yingxoxo exoxwa ngolimi olwejwayelekile ephathelene nezehalakalo zabalingiswa nezehlakalo zabalingiswa okungaba abantuabantu noma izilwaneizilwane leli yiqoqo lezindaba ezidluliselwa ezizukulwaneni ngokomlomo 
15,ubuciko bomlomo yinkulumo enobuchwepheshe noma eyingxoxo eyedluliselwa ezizukulwaneni ngezizukulwane ngomlomo isibonelo izithakazeloizibongo izinganekwane njjl lokhu kubalulekile ngoba abantu badinga ukwazi ngemvelaphi yaboungasho ukuthi ubuciko bomlomo uhlobo lwenkulumo olusetshenziswa abantu abadala ukuze batshele izingane ngomlando futhi ungasho ukuthi izingane ziyayisebenzisa lenkulumo ngoba awuvamile ukuthola abantu abadala bephicana izibongo zisebenzisa abantu abadala ukuze babingelele noma bahloniphe loyo obongwayo ngalokho singasho ukuthi ubuciko bomlomo benzelwe abantu bonke
16,ifacebook isizinda sokuxhumana ngokuthi abantu bathumelelane imilayezo eyahlukakhlukene ifacebook yaqanjwa emelika ngonyaka ka  umfundi wase nyuvesi ukuze yena nabangani bakhe bathumelelane imilayezo ngokushesha ifacebook ngendlela esikhule ngayo seyinabasebenzisi abangaphezu kwezigidi emhlabeni wonkenalapha eningizimu afrikaifacebook abasebenzisi bayo ifacebook baya ngokundlondlobala
17,kwa thema yilokishi elisesifundazweni sase gautenggoli leli lokishi lise gautengmpumalanga randi ye gauteng le lokishi laqanjwa emva komnumzane u selope thema naye owayelwela inkululeko idolobha lakwa thema isprings lapho iningi labahlali lithenga khona izinto abazifunayo noma abazidingayo kule lokishi kuhlala abantu abanningi abahlukahlukene abadumile lapha singabala abaculi abadlali bezemidlalo nebeshashalazi abahlukahlukene ikwa thema isondelene namadolobha anjengo gautengsprings brakpan benoniboksburg kanye ne nigelikwa thema iphinde futhi yakhelane namanye amalokishi afana ne tsakane kanye ne duduzaekwa thema kukhona izindawo ezahlukene zokuzijabulisa njenge bahamas edume kakhulu lapha ethema kukhona imitholampilo emibilikodwa asikho isibhedlela
18,pagename indlela yokudlulisa umyalezo phakathi kwabantu abakhuluma izilimi ezingafani iskhathi esiningi abantu bavamise ukuphambanisa ukutolika nokuhumusha lezi izinto ezimbili ezihlukene kodwa zombili zincike olimini kanye nase kushintsheni umyalezo usuka kolinye ulimi uya kolunye ukutolika kuyizinhlobo ezimbili kukhona indlela yokutolika lapho khona utolika elinda isikhulumi sikhulume ebese siyathula athathe lapho utolika bese kuba enye indlela lapho utolika ekhuluma cishe ngesikhathi esifanayo nesikhulumi
19,iphasika usuku olugukwa minyaka yonke ngokuthi kukhunjulwe usuku okwabethelwa ngalo iphasikaujesu krestu esiphambanweniegolgothalolu suku lugujwa emhlabeni wonke jikelele kukhunjulwe ubuhlungu ujesu krestu owadlula kukho lokhu kwenziwa abazalwane noma amakrestu lapha iningizimu afrikaeningizimu afrika imvamisa ukuthi kube khona izinkonzo zephasika ezindawenii ezahlukahlukene
20,izinto zokuthuthaimoto iyinto eyenziwe ukuze kubelula ukufinyelela indawoezindaweni ezahlukakhukene ngokushesha ziningi izinhlobo izinto zokuthuthazezimoto ezakhiwe izimoto zehlukaniswe kanengi kukhona ezincane kanti kubuye kube khona ezinkulukuphinde futhi kwakhiwe izinto zokuthuthaamaveni izinto zokuthuthaamabhasi amaloli izitimela nezindiza
21,amazwe iangola  ibutswana  izimbabwe  inamibhiya  imozambiki  ikongo  iswaziland  ighanna  izambia  irashiya  ijalimani  ingilandi  isikotilandi  ifulansi  ispaniya  imelika  ikhanada  imekisiko  ishayina  itheki  iostreliya  inyuzilandi
22,isichazamazwi yincwadi ebalulekile ngempela emphakathini ngoba iyona esiza intsha ukuthi ingalahlekelwa ulimi lwayo isichazamazwi yincwadi enamagama wolimi oluthile laphoke kuchazwa ukuthi amagama asho ukuthini uma ungayazi incazelo yamagama ungabuka kulencwajana ukuze wazi kangcono nokho ukuhumushaabahumushi yibona abasebenzisa lencwadi kakhulu
23,inxoxo eyisisusa futhi eyisizinda salencwadi unkulunkulu udala umhlaba futhi udala umuntu ngomfanekiso wakhe kodwa umuntu wangalaleli unkulunkulu wenza isono emehlweni wakhe bese unkulunkulu washabalalisa umhlaba ngemvula enkulu ebizwa ngokuthu uzamcolo umhlaba omusha obe khona ngaphambi kwemvula enkulu wawonakele konke unkulunkulu akazanga awushabalalisa kodwa esikhundleni salokho wabiza indoda eyedwa enguabraham ngomyalo kankulunkulu uabraham waya endaweni yasecanaan lapho eye ahlala khona nendodana yakhe uisaac nomzukulu wakhe ujacob igama likajacob lashintsha waba nguisrael
24,ibhola lezinyawo nabiza ngokuthi ibhola ngumdlalo lo ngumdlalo onesasasa kakhulu emhlabeniyingakho nje aabanye bawubiza ngomdlalo wezigidigidi zabantu game of billions ngokuya ngomlando webhola lezinyawo lomdlalo waqala engilandi kwelamangisi eminyakeni eminingi eyedlula kulo mdlalo iqembu ngalinye linabadlali abayishumi nanye kukhona unozinti onguyena obheke ukuthi akukho bhola elingena ngaphakathi kwezinti abanye ababadlali badlala emuva abanye phakathi esiswini kanti abanye badlale phambili babe amafolosi abadlala emuva banceda unozinti ukuthi abadlala nabo bangafaki igoli ngaphakathi laba abavimbayo bazakusebenzisa izinyawo nekhanda ukuvimba ibhola ukuthi lingangeni ezintini uma kuke kwangena igoli ezintini izibukeli ziye zijabule zenqe ukkhombisa yona injabulo ngoba behlule omabili amaqembu aba nabadlali abalinganayo ngenani kanti kuba khona unompempe ohambisana nabasizi bakhe abathathu omunye umsizi uma kwenye ingxenye kuthi omunye ame ngakwenye ingxenye abancedisi basebenza njengamehlo kanompempe ukubheka abadlali abadlalisa kabi abanye abadlali abangalandeli imithetho yebhola njengalabo ababamba abanye abadlali nnoma abakhahlela abanye abadlali lapha ngunozinti kuphela ovumeleke ukubamba ibhola ngesandla kanti naloyo ozophonsa ibhola uma liphumele ngaphandle unompempe uhlala aphethe indweba ykhe ayishaya ukukhuluma nabanye abadlali noma ukuyala ukuthi kwenzeke ini kanti nasemdlalweni webhola abadlali abadlala kabi bayajeziswa kuya ngokuthi umdlali obeqonde ukudlala kabi kangakanani uma ekhahlela omunye ngenhloso yokumlimaza unikezwa ikhadi eliphuzi kanjalo uyakhalinywa bese kuthi uma esephinde wadlala kabi futhi wathola elinye futhi eliphuzi uye anikezwe elibomvu elishoyo ukuthi aphume emdlalweni angasadlali ngoba uyingozi kwabanye abadlali amaqembu agqoka izimpahla ezingafani ukwenzela ukuthi abadlali babonakale bengafani lo mdlalo ube nezikhuzeli abahlala ngaphandle kwebala bakhuze bakhalime bakhuthaze abadlali babo kanti wonke lamaqembu anabaqeqeshi abo abasetha abadlali babo ukuthi badlale kanjani abaqeqeshi yibo abalolonga abadlali ukuze balungele umdlalo kuyothi iqembu elikwazile ukufaka amagoli amaningi kube yilo elinqobayo iningi afrika ingelinye izwe elithanda umdlalo webhola lezinyawo baningi abadlali beningizimu afrika abababa nesasasa abake badlala ngaphesheya ngikhuluma ngesilomo esedlula emhlabeni usteve kalamazooo mokone ujomo sono uace ntsoelengoephil masinga lucas radebe benny mccarthy quinton fortune hellman mkhalele david nyathi doctor khumalo siyabonga nomvethe john shoes moshoeu shaun bartlett mark fish nabanye abasadlala namaje otokelo rantie steven pienaar kagiso dikgacoi nabanye engeke ngaqeda ukubabala
25,iyuganda yizwe elise afrika empumalanga lizungezwe amazwe amahlanau okubulwa kuwo izwe lasekhenya ngasempumalanga kuthi enyakatho kube yizwe laseningizimu sudani enthshonalanga kube yiriphabliki yase khongo eningizimuntshonalanga kube yizwe laseruwanda kanye nelasethanzaniya eningizimu 
26,ulimi oluhlelembeke standardisedkahle lunohlelo oluthile lokuhambisanayo ekusetshenzisweni kwalo ulimi luyahambisana nokuhlelemba uma lunezincwadi zohlelo grammar books lunemithetho yokubhalwa lunezichazamazwi kanye namatemu amasha anembayo nokho phela ulimi luyaguquka luthuthuke kudingeke ukuba luhambisane ngandlela thize nesimanje yikhoke ukuluhlelemba kuyinto elokhu iqhubeka njalo
27,jazz iphayona afrika iqembu afrika south lapho likhuthaza umculo amahlanu fusing jazz big band umsindo nomasipala marabi the band wahlupheka eqinisweni lena isizukulwane sesithathu amaphayona futhi manje ubuso omncane umsindo omncane bandleader futhi saxophonist bra ntemi piliso owabhala iningi izingoma pioneers wavula emkhakheni ukwakheka for abaculi abasha in the band
28,kubonakale kubalulekile ukuba kubhekiswe ezinyangeni zesizulu ngoba zineqhaza elikhulu ezilibambile ezimpilweni zabantu kusemqoka futhi ukuthi umphakathi waziswe ukuthi izinyanga zesizulu izwe lisabusa zazisemqoka emisebenzini eyehlukene emamdulo kwakubhekwa ilanga inyanga izinkanyezi umoya kanye nokutshaliwe ukuqamba ngezigameko ezenzekayo ezigqamisa inyanga nenyang umuntu ungumzulu ubebona ngokushintsha kwesimo sezwe ukuthi sekuyisikhathi sokwenza okuthile singalinganisa njengenyanga kancwaba lapho isimo sezwe sisuke sesibuyela kwesejwayelekile emva kwesomiso 
29,nkosi sikelel iafrika ihubo elaqanjwa nguenoch sontonga ngonyaka wezi owabe engumfundisi esikoleni sesesonto lamaamaweseliweseli egoli leli culo lagcina selisetshenziswa njengelomzabalazo laphinde laseteshenziswa njengeculo lesizwe emazweni amahlanu eafrika okubalwa kuwo izambia itanzania inamibhiya kanye nezimbabwe emva kokuthola inkululeko okwamkaje leli culo listshenziswa njengeculo lesizwe etanzania kanye nase zambia kususkela ngonyaka wezi eningizimu afrika ingxenye yalo leli culo ifakwe kwiiculo lesizwe eningizimu afrikaculo lesizwe laseningizimu afrika 
30,izingane zoma iqembu lomculo kamaskandimaskandi lasnquthu kwazulunatali eningizimu afrika leli qembu linamalungu amathathu okubalwa kuwo uthandoluni phungul ongumculo ophambili kube khona nobongekile ngobese kanye tholakele ngobese abangabaculi amaculo aleli qembu ziqanjwa izelamani zakwakhuzwayo okungu shobeni kanye no busani ushobeni ubuye abe ngumdidyelei wezingoma zaleli qembu kuthi ubusani ushaya isingci
31,chicago iyidolobha eillinois ichicago idolobha lesithathu elinabantu abaningi kakhulu eunited states kanti lesibili sivakashelwe ngabokufika emagqumeni aselake michigan ichicago yaqala ukukhula ngekhulu le umlilo omkhulu wasechicago wase washiya abaningi abangenamakhaya kodwa abantu basechicago bavuselela kabusha bathuthukisa izitayela zokwakha ezintsha ezifana neskyscraper ensimbi enezinsimbi kwabaningi ichicago yikhungo sezokuxhumana ezezimali imboni nezinye izinto eziningi ezifanayo isikhumulo sezindiza sawo wonke umhlaba singenye yezwe elibi kakhulu futhi linomnotho ohlukene kakhulu futhi olinganiselayo ezinye izimpawu zomgwaqo zihlanganisa isears tower nemillennium park kubuye nasekhaya leuniversity of chicago idolobha likhule kahle lihlaziye ubuciko itheatre nomculo ikakhulukazi ijazz nomculo weelektroniki ichicago inamaqembu amaningi wezemidlalo wezemidlalo kuhlanganise namathimba amabili ebhola
32,the velvet underground bayibhendi kwimelika iqembu laqala enew york idolobha ngo kwakukhona abaculi abane kuleli qembu lou reed umculi isiginci john cale udlala izinsimbi eziningi zomculo sterling morrison isiginci and angus maclise amadubhu washintshwa ngumoe tucker ngo
33,unongoloza umuntu owaduma ngokusungula iqembu lemigulukudu elalibizwa ngamaniniva uphinde aziwe njengomuntu owaqala imithetho eyakhiwa yizigebengu emajele ebizwa ngenombolo umlando kanongoloza utholakala kakhulu uma uxoxa namabhantinti aboshwa iminyaka 
34,imvulamlomo inkomo ekhokhwa phambili uma amalobolokulotsholwa ekhokhelwa ukuba abasekhweniuyise wentombazane elotsholwayo avule umlomo ukuze kuqale izingxoxo le nkomo kuvame ukuthi kube yimali ethile okungaba ngopondo abahlanu kuya phezulu kodwa akuvamile ukweqa ekhulwini lamarandi kusadliwa ngoludala bekuba yinkomo uqobo lwayo eqhutshwa ngabafana
35,izikhothane skothane noma ukukhothana  yigama lesiszulu elamaqembu abantu abavame ukutholaka emalokishini ase ningizimu africa abathanda ukuzibonakalisa ngokomnotho wabo phambi kwabantu embuthanweni efana neye mingcwabo imishado noma emicimbini ethize ehlelwe yizona izikhothane la okwenziwa imincintiswano yokubonakalisa iminotho yazo lezo izikhothane  iminotho lena kusuke ku ngama cellphone imali izimpahla noma ugologo  isikhothane esingene kulo mncintiswano singathatha izicathulo zaso ezibizayo siziphonsele emlilweni  leso sikhothane  siyobe sikhombisa ukuthi asinandaba nazo lezo zicathulo ngoba phela sona sinemali singathenga ezinye ezifanayo noma ezibiza okudlula lezi esezishisiwe isikhothane singathatha iwashi laso elibizayo kakhulu siliphihlizele phansi izikhothane eziphumelela kulomncintiswano  yilezo ezine zinto eziningi ezibizayo zokumosha
36,radio studio  network noma studio  network kuba into italian radio station yangasese ezinze locri icalabriaecalabria emkhathini afinyelele studio  network on fm ezifundazweni eziyisishiyagalolunye ezindaweni ezinhlanu eningizimu yeitaly messina reggio ecalabria vibo valentia catanzaro cosenza crotone lecce potenza no salerno i izinhlelo libhekene igciwane zomculo hits kanye nokwaziswa realtime ne  updates nsuku zonke
37,i internet adult film database iafd kuyinto uhlu inthanethi kwemininingwane ephathelene emelika imboni izithombe ezingcolile abadlali abadlali abaqondisi kanye namafilimu ezingcolile kuyinto efanayo kudatabase movie inthanethi ngoba livulekele emphakathini futhi zisesheke amafilimu enziwa embonini ezingcolile nonamerican kutholakala kuyi database uma ukukhululwa us iyatholakala kanti ifilimu elithintekayo uvezwa njengoba lokuphatha ulwazi mayelana ukukhululwa us hhayi kulowo original
38,i adult film database iyiwebsite okuzama ukugcina amarekhodi azo zonke movie ezingcolile kanye omdala amafilimu izinkanyezi lokhu kuhlanganisa filmographies umlandvomphilo ngokwengxenye ukubuyekezwa abhalwe futhi page omdala ifilimu stills kanye olusha njalo imboni omdala blog okuyinto izici izindaba zakamuva mayelana lomculo esekhulile amabhayisikobho abaqondisi studios web site updates and izindaba omdala ahlukahlukene emhlabeni jikelele
39,usuku lokubuyisana phecelezi  iday of reconciliation yiholide lomphakathi olugujwa mhla zingama uzibandlela eningizimu afrika minyaka yonke lolu suku lwaba semthethweni ngonyaka we inhloso yalo kungukubuyisana nobumbano eningizimu afrika ngesikhathi sobandlululo lolu suku labe lubizwa ngeusuku lokubuyisanadingaan day kwazulunatalenatali kuzwelonke amabhunu abe elubiza ngeday of the vow lolu suku kwabe kuyiholide lapho amabhunu abe ebungaza khona ukuhlula amazulu impi yasencomeempini yasencome isingisi battle of blood river nge ngakwicala lezombusazwe ngalolu suku kubungazwa ukubunjwa koumkhonto we sizwe owasungulwa nge yiqembu leafrican national congress anc
40,ifonetiki yigama elisuselwa olimini lwesigriki  elisho umsindo izwi ifonetiki yigatsha lwesifundo ngezilimi elibhekene nemisindo yenkulumo noma  izici zezimpawu ezisetshenziswa olimini lwabantu abayizithulu ifonetiki ibhekene nokuphinyiswa kwemisindo yenkulumo noma izimpawu ibheka ukuthi imisindo iphinyiswa kanjani isuke kanjani emlonyeni wokhulumayo iye endlebeni yolalele izwakale kanjani kolalele ifonetiki ibheka nokusebenza kwemizwa lapho kusebenza izitho zokuphimisa ifonoloji ngakolunye uhlangothi ibheka okwenzeka emisindweni noma ezimpawini zemisindo lapho isetshenziswa olimini 
41,abantu bakwambatha bazalwa ngumageba kagumede ngenkathi kukhothama uphunga kagumede owayeyiwele likamageba  umageba washiya umuzi wakhe enhlazatshe ukuze avuse umuzi kayise kwazulu ngoba uphunga waye ngenayo indodana nxa ekhothama isihlalo sobikhosi bakwa zulu sase sithathwa ngumageba mhla eshiya umuzi wakhe osenhlazatshe umageba washiya indodana yakhe umpangazitha ukuba isale ivusa lomuzi kwadlula iminyakananje wabizwa umpangazitha ukuba agoduke ayovusa umuzi kantombela owaye ngukhokho wakhe wahamba umpangazitha washiya lomuzi osenhlazatshe nendodana yakhe usontshikazi uzokhumbula ukuthi lomuzi okamageba wadluliselwa kumpangazitha naye wawushiya kusontshikaziusontshikazi wayenomkhuba wokumbatha isikhumba senyathi emahlombe akhe kanti abalandeli bakhe bona babembatha esenkomo isikhumba esishukiwe abantu ababekade bakhelene nabo bawubona lomkhuba base beqala bethi kwasontshikazi emambatheni wonke umuntu owayehlana kulomuzi wayesezibiza ngokuthi ungowasemambatheni ngoba nendodana kasontshikazi undaba wayebizwa ngowakwambatha namadodana akhe umbeje kandaba dladla kandaba noshandu kandaba babe bizwa ngombatha
42,uzwide kalanga waye yindodana kalanga inkosi yamandwandwe wayeyisitha esikhulu sika shaka amabutho kazwide amaphela namankayiya aye satshwa kakhulu kanti futhi nonina kazwide untombazi wayesatshwa ngoba ilawu lakhe lalihlotshiswe ngamakhanda amadoda anqotshwe uzwide
43,asian month  is about writing asia if you are writing five or more pages about asia special design letterfrom other country will send to you why dont you join us if you are interested please sign participantsthis page if you want to be local organizer please sign below
44,ujustin timberlake randall wase memphis tennessee january   umculi umbhali umlingisi urecord producer wokudansa usomabhizinisi wase melika odumile ngokuziqhaza kumabonakude elingisa kwi mickey mouse club bese omunye owayesekela iqembu lomculo insync
45,elisha cuthbert  november  ungumlingisi aphinde abe nguzime  wasekhanada usedlale kwafilimu amaningi kanye nemidlalo eminingi kumabonakude wazakhela idumela emdlalweni kamabonakude osihloko  okulapho ayaziwa njengo kim bauer 
46,etihad airways ungomunye izindiza ezimbili eziyinhlokounited arab emirates it wadalwa ngu isimemezelo sasebukhosini esithinta ngojuly  waqala ezindizayo abagibeli ngonovemba  abu dhabi inhlokodolobha yaseunited arab emirates kuyinto hub le nkampani noma phansi imisebenzi etihad airways indiza ezindaweni  emazweni 
47,ukusindiswa kwaba ukukhululwa lwesikhombisa abafrika baseningizimu iqembu ladysmith black mambazo ialbhamu kwaba iqoqo zulu christian emaculweni kanti amaalbhamu mambazo odlule wayekade ngokuphelele elabhalwa umholi waleli qembu ujoseph shabalala ialbhamu okubikwa ukuthi wathola gold disc izitifiketi kungakapheli amasonto amathathu kokukhululwa yayo
48,pizza hut ngolimi lwesingisi  isizulu pizza hut american ukudla okusheshayo yokudlela futhi inamagatsha emazweni amaningi is almo ochwepheshe yokudlela umsoco pizza zonke izinhlobo kodwa okhrykma inikeza ukuxhumana yangaphandle inkonzo izicelo ngaphezu ukuthi kungenzeka ukudla esitolo sokudlela
49,usuku lwamasiko   yiholide lomphakathi lase ningizimu afrika eligujwa minyaka yonke ngomhlaka  umandulo minyaka yonke ngalolu suku bonke abntu base ningizimu afrika bagubha amasiko abo wonkana lolu suku lubalulekile ngoba yilapho bonke abantu baseningizimu afrika betshengisa ukuzigqaja kanye nokuziqhenya ngamasiko abo anhlobonhlobo
50,ukungcweka umdlalo omdala wakwazulu wokuvivinyana amandla nobuchewpwshe bokudlala induku abafana bayaqhathwa kodwa abazisebenzisi izinduku lapha kusuke basuke befundiswa ukuvika kanye nokigadla  kulomdlalo kusetshensiswa izinduku uma abafana sebekhulile beyizinsizwa khona induku yokuvika kanye ngeyokugadla insizwa 
51,iintanethi uhlelo oluqukethwe ikhompyuthaamkhompyutha ayizigidi ahlangene ndawonye kuhleloxhumano olunzulu kuwo wonke amagumbi omhlaba olusebenzisa iinternet protocol suite tcpip uma uxhumeke kuyo inintanethi nomshini osuke uwusebenzisa okungaba yikhompyutha noma umakhalekhukhwini nawo ingena kulo lolu xhaxha lohleloxhumano lolu hleloxhumano lohleloxhumano luqukethe olungasese olomphakathi olwamabhizinisi kanye nolwahulumeni uhleloxhumano olusezweni noma emhlabeni oluhuxhumene nngobuchwepheshe obunogesi ubengenazo izintambo kanye nobamafibre optics iinthanethi iqukethe ulwazi olnuningi okubalwa amakhasi amakhuluahlangene kanye namahlelokusebenza esisizindalwazi sokuxhumana somhlaba jikelele www umbikombani ucingo lokuxhumana kanaye nokwabelana ngamafayela
52,usuku lwabasebenzi isingisiworkers day yiholide lomphakathi lesizwe laseningizimu afrika kusukela ngonyaka we ligujwa mhla zi unhlaba minyaka yonke leli holide ligujwa emazweni angama lapho libizwa khona ngeinternational workers day kwezinye izindawo laziwa ngemay day ngalolu suku kususuke kugujwa iqhaza elibanjwa ngabasebenzi ezweni lilonkana lugqugquzelwa izinhlangano zabasebenzi ngalolu suku kusuke kukhunjulwa abasebenzi abalahlekelwa izimpilo zabo esehlakalweni esaziwa ngehaymarket affair ngonyaka we lapho babebhikishela ukuthi kwehliswe amahora okusebenza abe yi eningizimu afrika kusuke kukhunjulwa uqhaza elibanjwa abasebenzi ezweni laseningizimu afrika okuyibo abadlala indima enkulu ekuqhubeni umnotho walelizwe  
53,iziphicaphicwano umdlalo owawudlalwa omkhulu nokhokho bethu besakhula ngpba ngalezo zikhathi yayingekho lemidlalo yesimanje lemidlalo ibisebenza njengendlela yokufundisa abantwana nokubenza bacabange ngokushesha kwezinye zezindawo zasemakhaya basayisebenzisa ngoba bengenayo lemidlalo yesimanje kesinye isikhathi iziphicaphicwano zingaebenza njengendlela yokuzijabulisa nokulolonga umqondo 
54,inkatha freedom partyifp yiqembu lezombusazwe laseningizimu afrika elabunjwa ngonyaka wezi ukulwa no uhlelo lobandlululohlelo lobandlululo kusukela ngesikhathi libunjwa kuze kube yinamuhla leli qembu libuswa ngumangosuthu buthelezimntwana umangosuthu buthelezi
55,loluuhlu lwamaqembu ezombusazwe eningizimu afrika iningizimu afrika intando yeningiingumbuso wentando yeningi okusho ukuthi zonke izakhamizi ezivunyelwe ukuvota zinamndla okukhetha iqembu lezombusazwe elingahola isizwe iqembu lezombusazwe elibusayo iafrican national congress
56,utsotsi ungumfilimu we oqondiswa ugavin hood kanti umkhiqizi ngupeter fudakowski indaba ivela encwadini inoveli utsotsi ebhaliwe ngumlobi waseningizimu afrika uathol fugard isoundtrack iveza umculo wekwaito owenziwa ngumculi owaziwayo waseningizimu afrika uzola kanye nomculo owenziwe umark kilian nopaul hepker beqokomisa ukucula umculi  umbongi waseningizimu afrika uvusi mahlasela
57,amalungelo esintu aseningizimu afrika awumhlahlandlela wokuvikeleka kubuntu bomuntu amalungelo ayasipho sokuqala indalo esipha umuntu ekuzalweni kwakhe eningizimu afrika uhlu lwamalungelo abantu luyisizinda soumthethosisekelo waseninguizimu afrikamthethosisekelo umthethosisekelo iwona mthetho omkhulu ezweni ngisho uhulumeni akanawo amandla ngatphezu kwawo yingakho uhulumeni engenalo igunya lokushicilela imithetho engqubuzana namalungelo abantu 
58,inyuvesi yakwazulunatali isingisiuniversity of kwazulunatal ngamafuphi ukzn imfundo ephakeme eningizimu afrikaisikhungo semfundo ephakeme esesifundeni sakwazulunatalkwazulunatali lesi sikhungo sasungulwa ngonyaka wezi khona kwazulu lapho sasaziwa khona ngeinyuvesi yakwazulu nataliuniversity of natal
